Listing Name,Price,Room Type,Reviews,Location
NYC Special Occasions Room #2,33,Private room,60 reviews,"Bedford-Stuyvesant, Brooklyn"
Urban Brooklyn duplex near subway!,200,Entire home/apt,3 reviews,Brooklyn
Refined Victorian 2BR Brownstone,277,Entire home/apt,3 reviews,"Clinton Hill, Brooklyn"
1 Bedroom Brownstone Jewel Box,120,Entire home/apt,7 reviews,"Clinton Hill, Brooklyn"
"Big Sunny Guest Room, W'burg Bridge",90,Private room,104 reviews,"Williamsburg, Brooklyn"
Private Bedroom in the loft,67,Private room,7 reviews,Brooklyn
"LEGAL PARK SLOPE 4 BR, ROOF TERRACE",605,Entire home/apt,44 reviews,"Boerum Hill, Brooklyn"
"New, modern, & sun-drenched 1.5 BD",145,Entire home/apt,9 reviews,"Brooklyn Navy Yard, Brooklyn"
Charming Williamsburg Room,119,Private room,11 reviews,"Williamsburg, Brooklyn"
1b prime N Williamsburg NYC,242,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Luxury apt. 2 mins from Manhattan,241,Entire home/apt,30 reviews,"Downtown Brooklyn, New York"
BEDROOM & BATHROOM in BROOKLYN,121,Private room,20 reviews,"Bedford-Stuyvesant, Brooklyn"
"A Romantic Oasis in Bushwick, NY",79,Private room,7 reviews,"Bushwick, Brooklyn"
Williamsburg Loft City-River Views!,339,Entire home/apt,6 reviews,Brooklyn
Park Slope 4b Next To Prospect Park,484,Entire home/apt,10 reviews,"Park Slope, Brooklyn"
Stunning 23 fl bedroom with views,151,Private room,20 reviews,"Downtown Brooklyn, Brooklyn"
Zen Eyrie –Airport Pick-Up: JFK/LGA,58,Private room,5 reviews,"East New York, Brooklyn"
Modern 2bdrm with private terrace!,363,Entire home/apt,0 reviews,Brooklyn
Big Sunny Bdrm fits 4 in E W-burg,73,Private room,16 reviews,Brooklyn
"Sunny, calm room in Victorian home",96,Private room,61 reviews,"Bedford-Stuyvesant, Brooklyn"
PRIME LOCATION STYLISH COMFORT,333,Entire home/apt,26 reviews,"Williamsburg, Brooklyn"
Large Williamsburg Loft Apartment,242,Entire home/apt,29 reviews,"Williamsburg, Brooklyn"
Williamsburg 2b apartment with deck,224,Entire home/apt,90 reviews,"Williamsburg, Brooklyn"
Urban Jungle in Bedford Stuyvesant,133,Entire home/apt,42 reviews,"Bedford-Stuyvesant, Brooklyn"
Bi-level Loft with a Private Garden,240,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
"Huge room, private and simplistic.",133,Private room,51 reviews,"Williamsburg, Brooklyn"
Directly Across from Prospect Park!,71,Private room,56 reviews,Brooklyn
Historic Carroll Gardens 2 Bedroom,333,Entire home/apt,40 reviews,"Carroll Gardens, Brooklyn"
Comfortable 1 Bedroom in Greenpoint,181,Entire home/apt,25 reviews,"Greenpoint, Brooklyn"
Cozy Room in Rustic Bushwick Loft,71,Private room,12 reviews,"Bushwick, Brooklyn"
Northside Williamsburg Loft,121,Private room,36 reviews,"Williamsburg, Brooklyn"
Gorgeous Room in Brooklyn New York,121,Private room,55 reviews,"Williamsburg, Brooklyn"
Pretty and Private in Clinton Hill,109,Private room,0 reviews,Brooklyn
Beautiful Park Slope apartment,175,Entire home/apt,5 reviews,Brooklyn
Carroll Gardens Carriage House,109,Private room,27 reviews,"Gowanus, Brooklyn"
cozy sunny 1bedroom/kitchen/wc,169,Entire home/apt,2 reviews,Brooklyn
Sunny 2nd floor 2BR Apartment!,120,Entire home/apt,9 reviews,Brooklyn
"Large, Sunny Room in New Condo",108,Private room,115 reviews,"Clinton Hill, Brooklyn"
BayRidge near subway & express bus,48,Private room,34 reviews,"Bay Ridge, Brooklyn"
Private Room in South Williamsburg for an Amazing NYC Experience!,126,Private room,31 reviews,"Williamsburg, Brooklyn"
Spacious Williamsburg/Bushwick loft,85,Private room,74 reviews,"Bedford-Stuyvesant, Brooklyn"
